"","종목코드","종목명","종가","대비","등락률","시장구분","업종명","시가총액","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"327","005930","삼성전자",82500,-2800,-3.28,"KOSPI","전기전자",492507060375000,3166,26.06,37528,2.2,1416,1.72
"45","000660","SK하이닉스",141500,-7000,-4.71,"KOSPI","전기전자",103012334647500,2943,48.08,65836,2.15,1000,0.71
"846","035420","NAVER",375000,-8000,-2.09,"KOSPI","서비스업",61598773125000,4006,93.61,35223,10.65,376,0.1
"1075","051910","LG화학",831000,-59000,-6.63,"KOSPI","화학",58662237033000,4085,203.43,217230,3.83,2000,0.24
"299","005380","현대차",237000,-8000,-3.27,"KOSPI","운수장비",50639360319000,11310,20.95,253001,0.94,4000,1.69
"1929","207940","삼성바이오로직스",750000,-25000,-3.23,"KOSPI","의약품",4.962375e+13,3067,244.54,65812,11.4,0,0
"353","006400","삼성SDI",674000,-30000,-4.26,"KOSPI","전기전자",46347293220000,5331,126.43,175114,3.85,1000,0.15
"852","035720","카카오",488000,3500,0.72,"KOSPI","서비스업",43274905480000,NA,NA,60603,8.05,127,0.03
"1272","068270","셀트리온",297500,-10500,-3.41,"KOSPI","의약품",40170749972500,2196,135.47,20421,14.57,0,0
"26","000270","기아차",79400,2400,3.12,"KOSPI","운수장비",32185849751800,4556,17.43,71487,1.11,1150,1.45
"524","012330","현대모비스",303000,-11500,-3.66,"KOSPI","운수장비",28801572282000,24234,12.5,339207,0.89,4000,1.32
"307","005490","POSCO",281500,-1500,-0.53,"KOSPI","철강금속",24543094052500,22823,12.33,510076,0.55,10000,3.55
"1544","096770","SK이노베이션",260500,-9500,-3.52,"KOSPI","화학",24087279422000,NA,NA,186398,1.4,3000,1.15
"1242","066570","LG전자",146500,-7500,-4.87,"KOSPI","전기전자",23974404751000,169,866.86,79245,1.85,750,0.51
"1073","051900","LG생활건강",1513000,-54000,-3.45,"KOSPI","화학",23630332061000,46431,32.59,234042,6.46,11000,0.73
"747","028260","삼성물산",121500,-4000,-3.19,"KOSPI","유통업",22706780341500,6366,19.09,125948,0.96,2000,1.65
"873","036570","엔씨소프트",936000,-36000,-3.7,"KOSPI","서비스업",20548964592000,17387,53.83,113836,8.22,5220,0.56
"616","017670","SK텔레콤",247500,-4500,-1.79,"KOSPI","통신업",19984563472500,12144,20.38,284310,0.87,10000,4.04
