"","종목코드","종목명","종가","대비","등락률","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"1","060310","3S",2375,-70,-2.86,NA,NA,745,3.19,0,0
"2","095570","AJ네트웍스",3885,-100,-2.51,982,3.96,6802,0.57,300,7.72
"3","006840","AK홀딩스",31250,-400,-1.26,2168,14.41,62448,0.5,750,2.4
"4","054620","APS홀딩스",7720,-170,-2.15,NA,NA,10530,0.73,0,0
"5","265520","AP시스템",28200,-700,-2.42,671,42.03,7468,3.78,50,0.18
"6","211270","AP위성",18650,-1700,-8.35,51,365.69,5479,3.4,70,0.38
"7","027410","BGF",5500,-200,-3.51,281,19.57,15699,0.35,110,2
"8","282330","BGF리테일",159000,-3000,-1.85,8763,18.14,36022,4.41,2700,1.7
"9","138930","BNK금융지주",5900,-80,-1.34,1647,3.58,25415,0.23,360,6.1
"10","001460","BYC",369500,-4500,-1.2,33265,11.11,517079,0.71,1100,0.3
"11","001465","BYC우",161500,-500,-0.31,NA,NA,NA,NA,1150,0.71
"12","001040","CJ",92700,-1900,-2.01,8240,11.25,126448,0.73,1850,2
"13","079160","CJ CGV",28000,-400,-1.41,NA,NA,11590,2.42,0,0
"14","035760","CJ ENM",138300,-4900,-3.42,5310,26.05,134364,1.03,1400,1.01
"15","00104K","CJ4우(전환)",73600,-2600,-3.41,NA,NA,NA,NA,1900,2.58
"16","000120","CJ대한통운",164000,-3500,-2.09,1349,121.57,131146,1.25,0,0
"17","011150","CJ씨푸드",4325,-185,-4.1,51,84.8,1781,2.43,0,0
"18","011155","CJ씨푸드1우",33200,-2450,-6.87,NA,NA,NA,NA,0,0
"19","001045","CJ우",55800,-1800,-3.13,NA,NA,NA,NA,1900,3.41
"20","097950","CJ제일제당",406500,-4500,-1.09,9516,42.72,297949,1.36,3500,0.86
"21","097955","CJ제일제당 우",184500,-4000,-2.12,NA,NA,NA,NA,3550,1.92
"22","051500","CJ프레시웨이",21450,-300,-1.38,434,49.42,16967,1.26,250,1.17
"23","058820","CMG제약",4400,-115,-2.55,25,176,1297,3.39,0,0
"24","023460","CNH",2585,20,0.78,424,6.1,2811,0.92,30,1.16
"25","056000","COWON",2860,0,0,NA,NA,1229,2.33,0,0
"26","065770","CS",2560,-65,-2.48,NA,NA,1155,2.22,0,0
"27","083660","CSA 코스믹",2955,-45,-1.5,NA,NA,836,3.53,0,0
"28","000590","CS홀딩스",58000,-800,-1.36,8435,6.88,195584,0.3,500,0.86
"29","012030","DB",870,-33,-3.65,23,37.83,1049,0.83,0,0
"30","367340","DB금융스팩8호",2070,0,0,NA,NA,NA,NA,0,0
"31","016610","DB금융투자",5730,-150,-2.55,1172,4.89,16484,0.35,250,4.36
"32","005830","DB손해보험",41400,-50,-0.12,5966,6.94,84026,0.49,1500,3.62
"33","000990","DB하이텍",56400,-1800,-3.09,2410,23.4,14483,3.89,350,0.62
"34","000995","DB하이텍1우",96500,-3300,-3.31,NA,NA,NA,NA,400,0.41
"35","139130","DGB금융지주",7070,-70,-0.98,1900,3.72,27296,0.26,410,5.8
"36","001530","DI동일",165000,-7500,-4.35,6765,24.39,195965,0.84,1500,0.91
"37","000210","DL",86500,-1000,-1.14,17223,5.02,153815,0.56,1300,1.5
"38","000215","DL우",42000,-1100,-2.55,NA,NA,NA,NA,1350,3.21
"39","375500","DL이앤씨",111000,-5500,-4.72,NA,NA,NA,NA,0,0
"40","37550K","DL이앤씨우",70800,-4300,-5.73,NA,NA,NA,NA,0,0
"41","068790","DMS",8430,-150,-1.75,768,10.98,7205,1.17,75,0.89
"42","004840","DRB동일",6960,-40,-0.57,461,15.1,17771,0.39,100,1.44
"43","241520","DSC인베스트먼트 [락]",4110,-205,-4.75,233,17.64,1343,3.06,0,0
"44","155660","DSR",5410,-190,-3.39,546,9.91,9613,0.56,50,0.92
"45","069730","DSR제강",5210,-100,-1.88,469,11.11,9851,0.53,40,0.77
"46","017940","E1",39800,-500,-1.24,NA,NA,166288,0.24,2200,5.53
"47","245620","EDGC",8050,160,2.03,NA,NA,1090,7.39,0,0
"48","037370","EG",11050,-400,-3.49,NA,NA,4426,2.5,0,0
"49","079190","EMW",2780,0,0,120,23.17,971,2.86,0,0
"50","007700","F&F",139000,-2500,-1.77,7158,19.42,31366,4.43,1000,0.72
"51","130500","GH신소재",6220,-90,-1.43,204,30.49,3899,1.6,0,0
"52","114090","GKL",15950,-500,-3.04,1170,13.63,9460,1.69,659,4.13
"53","078930","GS",39000,-950,-2.38,5745,6.79,93746,0.42,1900,4.87
"54","083450","GST",19500,-950,-4.65,2010,9.7,10657,1.83,200,1.03
"55","006360","GS건설",36350,-1400,-3.71,5590,6.5,49623,0.73,1000,2.75
"56","001250","GS글로벌",2195,-105,-4.57,NA,NA,4351,0.5,0,0
"57","007070","GS리테일",36200,-100,-0.28,1729,20.94,28232,1.28,750,2.07
"58","078935","GS우",31400,-100,-0.32,NA,NA,NA,NA,1950,6.21
"59","028150","GS홈쇼핑",136000,-3000,-2.16,18339,7.42,174659,0.78,6500,4.78
"60","045890","GV",338,-70,-17.16,NA,NA,811,0.42,0,0
"61","078150","HB테크놀러지",2560,-125,-4.66,41,62.44,2025,1.26,20,0.78
"62","012630","HDC",10950,-150,-1.35,4460,2.46,36131,0.3,200,1.83
"63","039570","HDC아이콘트롤스",9670,-330,-3.3,NA,NA,10245,0.94,350,3.62
"64","089470","HDC현대EP",6320,10,0.16,445,14.2,8886,0.71,120,1.9
"65","294870","HDC현대산업개발",26800,-700,-2.55,8731,3.07,47095,0.57,500,1.87
"66","011200","HMM",19000,600,3.26,NA,NA,3420,5.56,0,0
"67","036640","HRS",5940,-250,-4.04,60,99,4475,1.33,0,0
"68","082740","HSD엔진",6740,50,0.75,NA,NA,5722,1.18,0,0
"69","335870","IBKS제12호스팩",2185,5,0.23,NA,NA,NA,NA,0,0
"70","351340","IBKS제13호스팩",2105,-5,-0.24,NA,NA,NA,NA,0,0
"71","351320","IBKS제14호스팩",2120,-20,-0.93,NA,NA,NA,NA,0,0
"72","373200","IBKS제15호스팩",2070,10,0.49,NA,NA,NA,NA,0,0
"73","003560","IHQ",1895,-35,-1.81,NA,NA,933,2.03,0,0
"74","095340","ISC",20750,-1050,-4.82,311,66.72,12011,1.73,50,0.24
"75","099520","ITX-AI",2705,120,4.64,NA,NA,598,4.52,0,0
"76","175330","JB금융지주",5830,-50,-0.85,1641,3.55,17615,0.33,300,5.15
"77","234080","JW생명과학",20700,-300,-1.43,1385,14.95,7744,2.67,500,2.42
"78","067290","JW신약",4725,-135,-2.78,33,143.18,1514,3.12,60,1.27
"79","001060","JW중외제약",29150,-400,-1.35,NA,NA,10059,2.9,325,1.11
"80","001067","JW중외제약2우B",57500,-300,-0.52,NA,NA,NA,NA,350,0.61
"81","001065","JW중외제약우",29900,-1100,-3.55,NA,NA,NA,NA,350,1.17
"82","096760","JW홀딩스",4850,-75,-1.52,NA,NA,2191,2.21,90,1.86
"83","035900","JYP Ent.",36500,-950,-2.54,947,38.54,4477,8.15,155,0.42
"84","024840","KBI메탈",2300,-155,-6.31,196,11.73,2735,0.84,0,0
"85","105560","KB금융",43800,-950,-2.12,8451,5.18,92672,0.47,2210,5.05
"86","024120","KB오토시스",9840,40,0.41,930,10.58,8912,1.1,230,2.34
"87","002380","KCC",199500,-4500,-2.21,NA,NA,421723,0.47,5500,2.76
"88","021320","KCC건설",8140,-430,-5.02,1319,6.17,17642,0.46,150,1.84
"89","036670","KCI",9150,-250,-2.66,1061,8.62,5775,1.58,200,2.19
"90","009070","KCTC",7220,150,2.12,239,30.21,6409,1.13,45,0.62
"91","009440","KC그린홀딩스",4300,-300,-6.52,369,11.65,7996,0.54,60,1.4
"92","119650","KC코트렐",8400,-490,-5.51,149,56.38,5805,1.45,30,0.36
"93","044180","KD",911,-21,-2.25,NA,NA,2170,0.42,0,0
"94","092220","KEC",2500,-140,-5.3,NA,NA,1782,1.4,0,0
"95","151860","KG ETS",6650,-190,-2.78,2789,2.38,6733,0.99,110,1.65
"96","016380","KG동부제철",11900,-350,-2.86,NA,NA,8886,1.34,0,0
"97","016385","KG동부제철우",99600,-2900,-2.83,NA,NA,NA,NA,0,0
"98","046440","KG모빌리언스",9940,-260,-2.55,619,16.06,7541,1.32,200,2.01
"99","035600","KG이니시스",18300,-100,-0.54,1847,9.91,8937,2.05,330,1.8
"100","001390","KG케미칼",28450,-400,-1.39,7691,3.7,26210,1.09,350,1.23
"101","060720","KH바텍",18900,-800,-4.06,NA,NA,7998,2.36,0,0
"102","001940","KISCO홀딩스",14800,-50,-0.34,2909,5.09,44246,0.33,280,1.89
"103","122450","KMH",20300,-1400,-6.45,668,30.39,9669,2.1,70,0.34
"104","052900","KMH하이텍",2325,90,4.03,48,48.44,1358,1.71,0,0
"105","058400","KNN",1955,-35,-1.76,61,32.05,1479,1.32,20,1.02
"106","114450","KPX생명과학",8780,-390,-4.25,80,109.75,4024,2.18,0,0
"107","025000","KPX케미칼",61900,-800,-1.28,8571,7.22,96367,0.64,2500,4.04
"108","092230","KPX홀딩스",57500,-1000,-1.71,8406,6.84,149477,0.38,2600,4.52
"109","000040","KR모터스",1235,-60,-4.63,NA,NA,318,3.88,0,0
"110","044450","KSS해운",10850,-200,-1.81,1034,10.49,12026,0.9,270,2.49
"111","030200","KT",26000,-200,-0.76,2526,10.29,52341,0.5,1100,4.23
"112","033780","KT&G",78300,-1500,-1.88,8208,9.54,63008,1.24,4400,5.62
"113","030210","KTB투자증권",4070,-185,-4.35,681,5.98,8098,0.5,150,3.69
"114","036030","KTH",11500,650,5.99,40,287.5,5741,2,0,0
"115","058850","KTcs",2755,45,1.66,178,15.48,3715,0.74,80,2.9
"116","058860","KTis",2600,-80,-2.99,272,9.56,4835,0.54,90,3.46
"117","060370","KT서브마린",5270,-100,-1.86,24,219.58,4680,1.13,30,0.57
"118","093050","LF",15450,-450,-2.83,2313,6.68,41768,0.37,500,3.24
"119","003550","LG",93900,-2400,-2.49,6143,15.29,107050,0.88,2200,2.34
"120","034220","LG디스플레이",22600,-1100,-4.64,NA,NA,31694,0.71,0,0
"121","001120","LG상사",27300,-50,-0.18,739,36.94,30224,0.9,300,1.1
"122","051900","LG생활건강",1513000,-54000,-3.45,46431,32.59,234042,6.46,11000,0.73
"123","051905","LG생활건강우",705000,6000,0.86,NA,NA,NA,NA,11050,1.57
"124","003555","LG우",66700,-800,-1.19,NA,NA,NA,NA,2250,3.37
"125","032640","LG유플러스",11800,-400,-3.28,1005,11.74,16218,0.73,400,3.39
"126","011070","LG이노텍",199000,-9000,-4.33,4323,46.03,93151,2.14,300,0.15
"127","066570","LG전자",146500,-7500,-4.87,169,866.86,79245,1.85,750,0.51
"128","066575","LG전자우",71400,-1800,-2.46,NA,NA,NA,NA,800,1.12
"129","108670","LG하우시스",71500,-1700,-2.32,1154,61.96,91420,0.78,250,0.35
"130","108675","LG하우시스우",33850,-1000,-2.87,NA,NA,NA,NA,300,0.89
"131","037560","LG헬로비전",4520,-145,-3.11,NA,NA,12283,0.37,75,1.66
"132","051910","LG화학",831000,-59000,-6.63,4085,203.43,217230,3.83,2000,0.24
"133","051915","LG화학우",389500,-25500,-6.14,NA,NA,NA,NA,2050,0.53
"134","079550","LIG넥스원",37000,-2300,-5.85,145,255.17,28817,1.28,600,1.62
"135","006260","LS",69900,-2600,-3.59,912,76.64,98330,0.71,1450,2.07
"136","010120","LS ELECTRIC",57500,-2400,-4.01,3542,16.23,45353,1.27,1200,2.09
"137","000680","LS네트웍스",2735,-130,-4.54,NA,NA,6590,0.42,0,0
"138","229640","LS전선아시아",7260,-140,-1.89,523,13.88,4591,1.58,180,2.48
"139","023150","MH에탄올",7990,280,3.63,NA,NA,7785,1.03,350,4.38
"140","065150","MP그룹",895,0,0,11,81.36,252,3.55,0,0
"141","219550","MP한강",1000,-15,-1.48,NA,NA,536,1.87,0,0
"142","035420","NAVER",375000,-8000,-2.09,4006,93.61,35223,10.65,376,0.1
"143","160550","NEW",9770,160,1.66,NA,NA,3979,2.46,0,0
"144","053290","NE능률",3175,-5,-0.16,59,53.81,3886,0.82,0,0
"145","181710","NHN",69100,-300,-0.43,656,105.34,80696,0.86,0,0
"146","104200","NHN벅스",6140,-420,-6.4,341,18.01,4560,1.35,0,0
"147","060250","NHN한국사이버결제",46450,-2800,-5.69,1040,44.66,5192,8.95,230,0.5
"148","005940","NH투자증권",10850,-450,-3.98,1585,6.85,17934,0.6,500,4.61
"149","005945","NH투자증권우",8390,-80,-0.94,NA,NA,NA,NA,550,6.56
"150","034310","NICE",16950,-200,-1.17,771,21.98,18100,0.94,230,1.36
"151","030190","NICE평가정보",21950,-100,-0.45,682,32.18,3692,5.95,230,1.05
"152","008260","NI스틸",3220,-120,-3.59,224,14.38,3877,0.83,50,1.55
"153","004250","NPC",3960,5,0.13,343,11.55,6745,0.59,100,2.53
"154","004255","NPC우",2450,0,0,NA,NA,NA,NA,105,4.29
"155","010060","OCI",125000,2500,2.04,NA,NA,110515,1.13,0,0
"156","078590","OQP",4390,-5,-0.11,NA,NA,442,9.93,0,0
"157","178920","PI첨단소재",42700,-1250,-2.84,603,70.81,8557,4.99,315,0.74
"158","024940","PN풍년",4105,-35,-0.85,577,7.11,3828,1.07,25,0.61
"159","005490","POSCO",281500,-1500,-0.53,22823,12.33,510076,0.55,10000,3.55
"160","218410","RFHIC",37900,100,0.26,857,44.22,8351,4.54,200,0.53
"161","091340","S&K폴리텍",5110,-250,-4.66,1368,3.74,7586,0.67,0,0
"162","100840","S&TC",15750,-100,-0.63,2148,7.33,32631,0.48,800,5.08
"163","064960","S&T모티브",62700,-2100,-3.24,181,346.41,50329,1.25,1400,2.23
"164","003570","S&T중공업",6990,-60,-0.85,622,11.24,18558,0.38,300,4.29
"165","036530","S&T홀딩스",17500,-250,-1.41,4072,4.3,46992,0.37,500,2.86
"166","010950","S-Oil",85000,-3000,-3.41,561,151.52,55715,1.53,200,0.24
"167","010955","S-Oil우",47450,-1000,-2.06,NA,NA,NA,NA,225,0.47
"168","019550","SBI인베스트먼트",1350,-95,-6.57,71,19.01,583,2.32,0,0
"169","034120","SBS",22550,-1100,-4.65,1114,20.24,31799,0.71,150,0.67
"170","101060","SBS미디어홀딩스",1925,-20,-1.03,NA,NA,4162,0.46,0,0
"171","046140","SBS콘텐츠허브",6340,-160,-2.46,26,243.85,7234,0.88,0,0
"172","036120","SCI평가정보",3825,-100,-2.55,141,27.13,610,6.27,69,1.8
"173","099220","SDN",2970,-75,-2.46,93,31.94,1642,1.81,0,0
"174","036540","SFA반도체",8690,-200,-2.25,146,59.52,2066,4.21,0,0
"175","255220","SG",2050,-25,-1.2,287,7.14,1924,1.07,0,0
"176","040610","SG&G",2450,-65,-2.58,49,50,7017,0.35,0,0
"177","049470","SGA",787,-1,-0.13,NA,NA,577,1.36,0,0
"178","184230","SGA솔루션즈",1295,105,8.82,NA,NA,496,2.61,0,0
"179","005090","SGC에너지",39250,500,1.29,NA,NA,56341,0.7,1000,2.55
