"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"1","095570","AJ네트웍스","KOSPI","서비스업",3885,-100,-2.51,181904616075
"2","006840","AK홀딩스","KOSPI","기타금융",31250,-400,-1.26,413986281250
"3","027410","BGF","KOSPI","기타금융",5500,-200,-3.51,526442350500
"4","282330","BGF리테일","KOSPI","유통업",159000,-3000,-1.85,2748141054000
"5","138930","BNK금융지주","KOSPI","기타금융",5900,-80,-1.34,1923017951400
"6","001460","BYC","KOSPI","섬유의복",369500,-4500,-1.2,230795242500
"7","001465","BYC우","KOSPI","섬유의복",161500,-500,-0.31,34784677500
"8","001040","CJ","KOSPI","기타금융",92700,-1900,-2.01,2704707714600
"9","079160","CJ CGV","KOSPI","서비스업",28000,-400,-1.41,9.828e+11
"10","00104K","CJ4우(전환)","KOSPI","기타금융",73600,-2600,-3.41,311071283200
"11","000120","CJ대한통운","KOSPI","운수창고업",164000,-3500,-2.09,3741224416000
"12","011150","CJ씨푸드","KOSPI","음식료품",4325,-185,-4.1,155400593225
"13","011155","CJ씨푸드1우","KOSPI","음식료품",33200,-2450,-6.87,6.64e+09
"14","001045","CJ우","KOSPI","기타금융",55800,-1800,-3.13,126120443400
"15","097950","CJ제일제당","KOSPI","음식료품",406500,-4500,-1.09,6119526609000
"16","097955","CJ제일제당 우","KOSPI","음식료품",184500,-4000,-2.12,244911388500
"17","000590","CS홀딩스","KOSPI","기타금융",58000,-800,-1.36,66959956000
"18","012030","DB","KOSPI","서비스업",870,-33,-3.65,175021321710
"19","016610","DB금융투자","KOSPI","증권",5730,-150,-2.55,243217808970
"20","005830","DB손해보험","KOSPI","보험",41400,-50,-0.12,2.93112e+12
"21","000990","DB하이텍","KOSPI","전기전자",56400,-1800,-3.09,2504080363200
"22","000995","DB하이텍1우","KOSPI","전기전자",96500,-3300,-3.31,10838494000
"23","139130","DGB금융지주","KOSPI","기타금융",7070,-70,-0.98,1195861039310
"24","001530","DI동일","KOSPI","유통업",165000,-7500,-4.35,406825485000
"25","000210","DL","KOSPI","건설업",86500,-1000,-1.14,1335669163000
"26","000215","DL우","KOSPI","건설업",42000,-1100,-2.55,70816830000
"27","375500","DL이앤씨","KOSPI","건설업",111000,-5500,-4.72,2148819918000
"28","37550K","DL이앤씨우","KOSPI","건설업",70800,-4300,-5.73,149663058000
"29","004840","DRB동일","KOSPI","기타금융",6960,-40,-0.57,138712800000
"30","155660","DSR","KOSPI","철강금속",5410,-190,-3.39,8.656e+10
"31","069730","DSR제강","KOSPI","철강금속",5210,-100,-1.88,7.5024e+10
"32","017940","E1","KOSPI","유통업",39800,-500,-1.24,2.73028e+11
"33","365550","ESR켄달스퀘어리츠","KOSPI","서비스업",5720,0,0,819441480000
"34","007700","F&F","KOSPI","섬유의복",139000,-2500,-1.77,2.1406e+12
"35","114090","GKL","KOSPI","서비스업",15950,-500,-3.04,986597936500
"36","078930","GS","KOSPI","기타금융",39000,-950,-2.38,3623699742000
"37","006360","GS건설","KOSPI","건설업",36350,-1400,-3.71,3099943957650
"38","001250","GS글로벌","KOSPI","유통업",2195,-105,-4.57,181161611980
"39","007070","GS리테일","KOSPI","유통업",36200,-100,-0.28,2.7874e+12
"40","078935","GS우","KOSPI","기타금융",31400,-100,-0.32,56043536400
"41","012630","HDC","KOSPI","기타금융",10950,-150,-1.35,654171844950
"42","039570","HDC아이콘트롤스","KOSPI","건설업",9670,-330,-3.3,159168200000
"43","089470","HDC현대EP","KOSPI","화학",6320,10,0.16,2.01608e+11
"44","294870","HDC현대산업개발","KOSPI","건설업",26800,-700,-2.55,1766316444000
"45","011200","HMM","KOSPI","운수창고업",19000,600,3.26,6232218139000
"46","082740","HSD엔진","KOSPI","기계",6740,50,0.75,222063737080
"47","003560","IHQ","KOSPI","서비스업",1895,-35,-1.81,277116742460
"48","175330","JB금융지주","KOSPI","기타금융",5830,-50,-0.85,1148410272020
"49","234080","JW생명과학","KOSPI","의약품",20700,-300,-1.43,327775267800
"50","001060","JW중외제약","KOSPI","의약품",29150,-400,-1.35,627888842900
"51","001067","JW중외제약2우B","KOSPI","의약품",57500,-300,-0.52,5349110000
"52","001065","JW중외제약우","KOSPI","의약품",29900,-1100,-3.55,5306831400
"53","096760","JW홀딩스","KOSPI","기타금융",4850,-75,-1.52,331939732700
"54","105560","KB금융","KOSPI","기타금융",43800,-950,-2.12,18212386896000
"55","002380","KCC","KOSPI","화학",199500,-4500,-2.21,1772850964500
"56","009070","KCTC","KOSPI","운수창고업",7220,150,2.12,2.166e+11
"57","009440","KC그린홀딩스","KOSPI","기타금융",4300,-300,-6.52,96470414000
"58","119650","KC코트렐","KOSPI","기계",8400,-490,-5.51,1.092e+11
"59","092220","KEC","KOSPI","전기전자",2500,-140,-5.3,291767350000
"60","016380","KG동부제철","KOSPI","철강금속",11900,-350,-2.86,1190105874300
"61","016385","KG동부제철우","KOSPI","철강금속",99600,-2900,-2.83,5317146000
"62","001390","KG케미칼","KOSPI","화학",28450,-400,-1.39,394490431200
"63","001940","KISCO홀딩스","KOSPI","철강금속",14800,-50,-0.34,273450424000
"64","025000","KPX케미칼","KOSPI","화학",61900,-800,-1.28,2.99596e+11
"65","092230","KPX홀딩스","KOSPI","화학",57500,-1000,-1.71,242917145000
"66","000040","KR모터스","KOSPI","운수장비",1235,-60,-4.63,118729649480
"67","044450","KSS해운","KOSPI","운수창고업",10850,-200,-1.81,251566798000
"68","030200","KT","KOSPI","통신업",26000,-200,-0.76,6788907008000
"69","033780","KT&G","KOSPI","기타제조업",78300,-1500,-1.88,10750002515100
"70","030210","KTB투자증권","KOSPI","증권",4070,-185,-4.35,245478354440
"71","058850","KTcs","KOSPI","서비스업",2755,45,1.66,117597175000
"72","058860","KTis","KOSPI","서비스업",2600,-80,-2.99,90485200000
"73","093050","LF","KOSPI","섬유의복",15450,-450,-2.83,4.51758e+11
"74","003550","LG","KOSPI","기타금융",93900,-2400,-2.49,16203114600900
"75","034220","LG디스플레이","KOSPI","전기전자",22600,-1100,-4.64,8086634820000
"76","001120","LG상사","KOSPI","유통업",27300,-50,-0.18,1.058148e+12
"77","051900","LG생활건강","KOSPI","화학",1513000,-54000,-3.45,23630332061000
"78","051905","LG생활건강우","KOSPI","화학",705000,6000,0.86,1480286385000
"79","003555","LG우","KOSPI","기타금융",66700,-800,-1.19,221088955900
"80","032640","LG유플러스","KOSPI","통신업",11800,-400,-3.28,5152014059800
"81","011070","LG이노텍","KOSPI","전기전자",199000,-9000,-4.33,4709754293000
"82","066570","LG전자","KOSPI","전기전자",146500,-7500,-4.87,23974404751000
"83","066575","LG전자우","KOSPI","전기전자",71400,-1800,-2.46,1227079828800
"84","108670","LG하우시스","KOSPI","화학",71500,-1700,-2.32,641188405000
"85","108675","LG하우시스우","KOSPI","화학",33850,-1000,-2.87,34944370500
"86","037560","LG헬로비전","KOSPI","서비스업",4520,-145,-3.11,350059829800
"87","051910","LG화학","KOSPI","화학",831000,-59000,-6.63,58662237033000
"88","051915","LG화학우","KOSPI","화학",389500,-25500,-6.14,2994787600000
"89","079550","LIG넥스원","KOSPI","기계",37000,-2300,-5.85,8.14e+11
"90","006260","LS","KOSPI","기타금융",69900,-2600,-3.59,2.25078e+12
"91","010120","LS ELECTRIC","KOSPI","전기전자",57500,-2400,-4.01,1.725e+12
"92","000680","LS네트웍스","KOSPI","유통업",2735,-130,-4.54,215526248760
"93","229640","LS전선아시아","KOSPI","기타금융",7260,-140,-1.89,222336621540
"94","023150","MH에탄올","KOSPI","음식료품",7990,280,3.63,58954422740
"95","035420","NAVER","KOSPI","서비스업",375000,-8000,-2.09,61598773125000
"96","181710","NHN","KOSPI","서비스업",69100,-300,-0.43,1351943227500
"97","005940","NH투자증권","KOSPI","증권",10850,-450,-3.98,3053286423950
"98","005945","NH투자증권우","KOSPI","증권",8390,-80,-0.94,158327421520
"99","338100","NH프라임리츠","KOSPI","서비스업",4215,20,0.48,78651900000
"100","034310","NICE","KOSPI","서비스업",16950,-200,-1.17,642104985000
"101","008260","NI스틸","KOSPI","철강금속",3220,-120,-3.59,92092376740
"102","004250","NPC","KOSPI","화학",3960,5,0.13,145411200000
"103","004255","NPC우","KOSPI","화학",2450,0,0,1.2936e+10
"104","010060","OCI","KOSPI","화학",125000,2500,2.04,2981171375000
"105","005490","POSCO","KOSPI","철강금속",281500,-1500,-0.53,24543094052500
"106","100840","S&TC","KOSPI","기계",15750,-100,-0.63,118230698250
"107","064960","S&T모티브","KOSPI","운수장비",62700,-2100,-3.24,916870627200
"108","003570","S&T중공업","KOSPI","운수장비",6990,-60,-0.85,232436352030
"109","036530","S&T홀딩스","KOSPI","기타금융",17500,-250,-1.41,285318005000
"110","010950","S-Oil","KOSPI","화학",85000,-3000,-3.41,9569537320000
"111","010955","S-Oil우","KOSPI","화학",47450,-1000,-2.06,190840436150
"112","034120","SBS","KOSPI","서비스업",22550,-1100,-4.65,411595724100
"113","101060","SBS미디어홀딩스","KOSPI","서비스업",1925,-20,-1.03,269300165750
"114","005090","SGC에너지","KOSPI","전기가스업",39250,500,1.29,576072407000
"115","004060","SG세계물산","KOSPI","유통업",670,-21,-3.04,135624723200
"116","001380","SG충방","KOSPI","운수장비",2440,-60,-2.4,109712508920
"117","002360","SH에너지화학","KOSPI","화학",935,-23,-2.4,103910037550
"118","009160","SIMPAC","KOSPI","기계",3200,-50,-1.54,209374451200
"119","123700","SJM","KOSPI","운수장비",4070,50,1.24,63511934860
"120","025530","SJM홀딩스","KOSPI","유통업",3375,-160,-4.53,50402277000
"121","034730","SK","KOSPI","기타금융",262500,-14500,-5.23,18469577962500
"122","011790","SKC","KOSPI","화학",117500,-3500,-2.89,4449525015000
"123","018670","SK가스","KOSPI","유통업",91600,-1700,-1.82,845490350400
"124","001740","SK네트웍스","KOSPI","유통업",5560,10,0.18,1379923317320
"125","001745","SK네트웍스우","KOSPI","유통업",106000,-1000,-0.93,12046688000
"126","006120","SK디스커버리","KOSPI","기타금융",65400,-800,-1.21,1245075717000
"127","006125","SK디스커버리우","KOSPI","기타금융",53700,-1300,-2.36,72949033500
"128","210980","SK디앤디","KOSPI","서비스업",35050,-1300,-3.58,665605248200
