"","SPY","IEV","EWJ","EEM","TLT","IEF","IVR","RWX","GLD","DBC"
"1",106.130638,34.883507,46.026169,29.023651,57.780018,58.321323,NA,30.93681,62.279999,22.214903
"2",106.355843,34.68531,46.512363,28.62286,58.130352,58.532921,NA,30.706758,61.650002,21.636198
"3",105.507515,34.173283,45.313084,27.785984,57.877331,58.342461,NA,30.324945,60.169998,21.561525
"4",105.995529,34.22945,45.572399,27.987631,57.981098,58.384777,NA,30.222153,60.48,21.673531
"5",105.905411,34.100613,45.864098,27.362492,57.981098,58.370644,NA,30.271091,60.849998,21.486853
"6",106.258263,33.909012,45.18343,27.299473,57.721607,58.271938,NA,30.099762,60.59,21.169495
"7",106.723709,34.275692,44.956543,27.644814,57.384228,58.116734,NA,30.197666,60.630001,21.141495
"8",107.534515,34.586201,45.539982,28.206938,57.118271,57.996834,NA,30.398357,62.169998,21.636198
"9",107.32431,34.586201,45.702042,28.307774,57.241489,58.109646,NA,30.476686,61.970001,21.141495
"10",107.369362,34.566376,45.702042,28.189297,57.06633,57.996834,NA,30.69207,62.639999,21.328175
"11",107.009018,34.46067,45.669636,27.891842,57.241489,58.074402,NA,30.657804,62.259998,21.10416
"12",107.219215,34.830658,45.993759,28.393475,57.085815,57.982735,NA,30.956404,63,21.421516
"13",106.888916,34.586201,45.993759,28.360706,57.222012,58.088535,NA,31.274584,62.720001,21.440182
"14",107.204208,34.896717,46.253056,29.006002,56.84576,57.919281,NA,31.509546,64.230003,22.121563
"15",108.06752,35.0751,46.8689,29.258087,56.839233,57.926289,NA,31.53891,64.330002,21.934883
"16",106.798798,34.533356,46.090996,28.358189,56.430553,57.700558,NA,31.352913,64.059998,21.738873
"17",106.701218,34.629154,46.123413,28.532118,56.385086,57.69352,NA,31.157097,64.169998,22.009556
"18",106.641167,34.708431,46.285477,28.153997,56.261829,57.651203,NA,31.348009,63.77,21.561525
"19",107.196678,34.893417,46.57719,28.590088,56.326756,57.7076,NA,31.475281,64.220001,22.158899
"20",107.917397,35.071789,46.382717,28.811918,56.800362,57.919281,NA,31.475281,64.830002,22.39225
"21",108.563004,35.345982,46.998547,29.164814,56.731949,57.87748,NA,31.832623,65.220001,22.308243
"22",108.71315,35.312939,46.706829,29.076593,56.803589,57.926991,NA,32.185066,64.279999,22.597595
"23",108.743172,35.197323,46.350304,29.104313,56.881786,57.990791,NA,32.28297,64.309998,22.522924
"24",108.773224,35.428562,46.739254,29.39168,57.194447,58.153645,NA,32.615826,64.790001,22.410917
"25",109.013474,35.560696,46.706829,29.278246,57.363804,58.281044,NA,32.747993,64.629997,22.140234
"26",108.870819,35.478115,46.123413,29.121962,57.409382,58.295193,NA,32.728413,65.519997,22.653601
"27",108.060013,35.266689,46.253056,28.774105,57.083706,58.118191,NA,32.747993,66.120003,22.793612
"28",107.692162,35.151073,46.220638,28.577486,56.953411,58.040321,NA,32.47876,65.669998,22.364246
"29",108.600517,35.494629,47.193031,29.031214,56.829639,57.997856,NA,32.743092,65.839996,22.774942
"30",109.313744,35.950493,47.97094,29.656361,57.37035,58.330585,NA,33.286461,66.370003,22.466921
"31",109.456337,35.877823,48.359898,29.673996,57.539707,58.422646,NA,33.384354,66.410004,22.466921
"32",109.403831,35.867912,48.327473,29.742067,57.741653,58.486389,NA,33.359867,66.360001,22.85895
"33",109.636528,35.993427,48.165417,29.820204,57.871864,58.557201,NA,33.423519,65.309998,22.606932
"34",109.591484,35.729168,48.197819,29.908421,57.774242,58.550095,NA,33.531197,67.349998,23.092299
"35",109.508957,35.83157,48.327473,29.832798,57.461521,58.40144,NA,33.741688,67.150002,23.409655
"36",109.080986,35.924068,48.748844,29.618547,57.871864,58.635094,NA,33.971767,67.720001,23.559
"37",108.983437,36.105747,49.072987,29.605942,58.256252,58.819176,NA,33.697636,68.099998,23.624338
"38",104.726753,34.156769,47.906109,27.198648,58.992336,59.314854,NA,32.4543,65.410004,23.176306
"39",105.800323,34.619244,47.841282,27.87925,58.725285,59.10947,NA,32.273163,66.480003,23.530996
"40",105.485008,34.163376,47.614395,27.478443,58.688023,59.162762,NA,31.881573,65.82,23.362986
"41",104.103645,33.717415,46.836483,27.223848,58.982269,59.354584,NA,31.279463,63.709999,23.148302
"42",103.112732,33.033623,46.155815,26.52561,59.080345,59.390106,NA,30.564804,62.93,22.802948
"43",104.876877,33.945354,47.257854,27.690191,58.903782,59.31197,NA,31.426325,64.150002,23.01763
"44",104.77182,34.011425,47.160614,27.521297,59.132664,59.41853,NA,31.798363,64.300003,23.334984
"45",105.6577,34.364876,47.581989,28.232145,59.080345,59.411434,NA,31.915834,64.480003,23.37232
"46",105.687706,34.463978,47.614395,28.282562,58.459126,59.077541,NA,32.273163,64.25,23.064297
"47",105.845329,34.596119,48.003357,28.421196,58.688023,59.240944,NA,32.503246,64.370003,22.849617
"48",103.788368,33.750454,47.128201,27.594404,59.041111,59.503757,NA,31.881573,63.720001,22.672272
"49",104.56163,33.875988,46.706829,27.821268,58.773029,59.425587,NA,31.254988,63.939999,22.718941
"50",104.704208,34.037846,46.739254,28.04814,58.766468,59.361694,NA,31.622133,63.98,22.57893
"51",104.411079,34.156769,46.706829,27.808662,58.753361,59.354584,NA,31.512583,64.620003,22.634935
"52",105.669785,34.668789,47.225441,28.418682,58.629131,59.276443,NA,32.126633,64.739998,22.746943
"53",106.250092,35.009033,47.646809,28.605213,58.661831,59.361694,NA,32.612938,65.269997,22.774942
"54",107.998734,35.867912,48.165417,29.462257,58.688023,59.446926,NA,33.354706,65.82,22.812281
"55",107.915794,35.633373,48.230244,29.33622,58.223694,59.24802,NA,33.158218,65.760002,23.185638
"56",108.074081,35.818356,48.295071,29.472338,58.060226,59.155693,NA,33.143478,65.150002,23.194973
"57",107.93087,35.844776,48.035759,29.454704,58.132183,59.20541,NA,33.030491,65.839996,23.297647
"58",107.674606,35.626762,47.841282,29.32362,58.034138,59.191216,NA,32.814362,65.699997,23.362986
"59",106.890762,35.299725,47.484745,28.799301,57.916363,59.184116,NA,32.568756,66.050003,23.587002
"60",107.003777,35.666393,47.549564,29.371513,57.837914,59.098804,NA,32.838902,65.650002,24.044367
"61",107.026421,35.788624,47.225441,29.366472,57.726734,59.027813,NA,33.256454,65.739998,23.689672
"62",107.147011,35.917458,46.966133,29.568127,57.822598,59.093418,NA,33.433308,65.849998,23.456324
"63",108.300232,36.38324,47.355087,30.052109,57.750412,59.043526,NA,33.624886,65.830002,23.362986
"64",108.420807,36.475723,47.711639,30.241159,57.809429,59.136211,NA,33.595402,66.809998,23.624338
